instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
25,2011-01-25,Spring,2011,1,0,Tuesday,1,Mist/Cloudy,9.162598000000001,11.7263,61.695699999999995,8.696332,186,1799,1985,
26,2011-01-26,Spring,2011,1,0,Wednesday,1,Light Rain/Snow,8.9175,10.18,86.25,19.68795,34,472,506,
27,2011-01-27,Spring,2011,1,0,Thursday,1,Clear/Partly Cloudy,7.995,10.985,68.75,7.627078999999999,15,416,431,
28,2011-01-28,Spring,2011,1,0,Friday,1,Mist/Cloudy,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,38,1129,1167,
29,2011-01-29,Spring,2011,1,0,Saturday,0,Clear/Partly Cloudy,8.057402,10.606300000000001,65.17389999999999,9.739455,123,975,1098,
30,2011-01-30,Spring,2011,1,0,Sunday,0,Clear/Partly Cloudy,8.877402,12.5161,72.2174,4.956834199999999,140,956,1096,
31,2011-01-31,Spring,2011,1,0,Monday,1,Mist/Cloudy,7.414153,9.3125,60.375,12.541864,42,1459,1501,
32,2011-02-01,Spring,2011,2,0,Tuesday,1,Mist/Cloudy,7.8791340000000005,11.7265,82.9565,3.565271,47,1313,1360,
33,2011-02-02,Spring,2011,2,0,Wednesday,1,Mist/Cloudy,10.66,12.72085,77.5417,17.708636,72,1454,1526,
34,2011-02-03,Spring,2011,2,0,Thursday,1,Clear/Partly Cloudy,7.665237,8.8939,43.7826,18.609384,61,1489,1550,
35,2011-02-04,Spring,2011,2,0,Friday,1,Mist/Cloudy,8.663464,11.429350000000001,58.521699999999996,8.565213,88,1620,1708,
36,2011-02-05,Spring,2011,2,0,Saturday,0,Mist/Cloudy,9.566653,12.152899999999999,92.91669999999999,10.792293,100,905,1005,
37,2011-02-06,Spring,2011,2,0,Sunday,0,Clear/Partly Cloudy,11.719153,14.58355,56.833299999999994,9.5006,354,1269,1623,
38,2011-02-07,Spring,2011,2,0,Monday,1,Clear/Partly Cloudy,11.138347,15.1829,73.83330000000001,3.0423561,120,1592,1712,
39,2011-02-08,Spring,2011,2,0,Tuesday,1,Clear/Partly Cloudy,9.054153,9.9123,53.7917,24.25065,64,1466,1530,
40,2011-02-09,Spring,2011,2,0,Wednesday,1,Mist/Cloudy,5.526102999999999,7.21415,49.4783,12.652213,53,1552,1605,
41,2011-02-10,Spring,2011,2,0,Thursday,1,Clear/Partly Cloudy,5.918268,7.477399999999999,43.7391,14.869645,47,1491,1538,
42,2011-02-11,Spring,2011,2,0,Friday,1,Clear/Partly Cloudy,7.752731000000001,10.67545,50.6364,7.272849999999999,149,1597,1746,
43,2011-02-12,Spring,2011,2,0,Saturday,0,Clear/Partly Cloudy,9.1225,11.6477,54.4167,13.625589,288,1184,1472,
44,2011-02-13,Spring,2011,2,0,Sunday,0,Clear/Partly Cloudy,12.977402000000001,16.20565,45.7391,17.479160999999998,397,1192,1589,
45,2011-02-14,Spring,2011,2,0,Monday,1,Clear/Partly Cloudy,17.015,19.9175,37.583299999999994,27.999836,208,1705,1913,
46,2011-02-15,Spring,2011,2,0,Tuesday,1,Clear/Partly Cloudy,10.909567000000001,12.7137,31.434800000000003,19.522058,140,1675,1815,
47,2011-02-16,Spring,2011,2,0,Wednesday,1,Clear/Partly Cloudy,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,218,1897,2115,
48,2011-02-17,Spring,2011,2,0,Thursday,1,Clear/Partly Cloudy,17.869153,21.4329,50.5,15.416968,259,2216,2475,
49,2011-02-18,Spring,2011,2,0,Friday,1,Clear/Partly Cloudy,21.388347,25.599149999999998,51.6667,17.749975000000003,579,2348,2927,
50,2011-02-19,Spring,2011,2,0,Saturday,0,Clear/Partly Cloudy,16.365847,19.5702,18.7917,34.000021,532,1103,1635,
51,2011-02-20,Spring,2011,2,0,Sunday,0,Clear/Partly Cloudy,11.693897,13.8665,40.7826,14.956745,639,1173,1812,
52,2011-02-21,Spring,2011,2,1,Monday,0,Mist/Cloudy,12.436653000000002,14.203750000000001,60.5,20.625682,195,912,1107,
53,2011-02-22,Spring,2011,2,0,Tuesday,1,Clear/Partly Cloudy,7.471102,9.30165,57.7778,13.110761,74,1376,1450,
54,2011-02-23,Spring,2011,2,0,Wednesday,1,Clear/Partly Cloudy,9.091299,12.28585,42.3043,6.3055710000000005,139,1778,1917,
55,2011-02-24,Spring,2011,2,0,Thursday,1,Mist/Cloudy,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,100,1707,1807,
56,2011-02-25,Spring,2011,2,0,Friday,1,Mist/Cloudy,14.938268,17.52305,71.2174,23.218113,120,1341,1461,
57,2011-02-26,Spring,2011,2,0,Saturday,0,Clear/Partly Cloudy,11.5825,14.1096,53.7917,12.500257,424,1545,1969,
58,2011-02-27,Spring,2011,2,0,Sunday,0,Clear/Partly Cloudy,14.082598,17.55545,68.0,8.391615999999999,694,1708,2402,
59,2011-02-28,Spring,2011,2,0,Monday,1,Mist/Cloudy,16.698193,20.005899999999997,87.63640000000001,19.408962,81,1365,1446,
60,2011-03-01,Spring,2011,3,0,Tuesday,1,Clear/Partly Cloudy,10.933347,13.19395,53.5,14.500475,137,1714,1851,
61,2011-03-02,Spring,2011,3,0,Wednesday,1,Clear/Partly Cloudy,13.735000000000001,16.00355,44.9583,20.624811,231,1903,2134,
62,2011-03-03,Spring,2011,3,0,Thursday,1,Clear/Partly Cloudy,8.131653,10.00665,31.833299999999998,15.125518000000001,123,1562,1685,
63,2011-03-04,Spring,2011,3,0,Friday,1,Mist/Cloudy,10.728347,12.783949999999999,61.0417,13.624182,214,1730,1944,
64,2011-03-05,Spring,2011,3,0,Saturday,0,Mist/Cloudy,15.750846999999998,18.93895,78.91669999999999,16.875357,640,1437,2077,
65,2011-03-06,Spring,2011,3,0,Sunday,0,Mist/Cloudy,15.437402,18.3126,94.8261,23.000229,114,491,605,
66,2011-03-07,Spring,2011,3,0,Monday,1,Clear/Partly Cloudy,10.731299,11.92305,55.1304,22.870584,244,1628,1872,
67,2011-03-08,Spring,2011,3,0,Tuesday,1,Clear/Partly Cloudy,11.9925,15.120000000000001,42.0833,8.083549999999999,316,1817,2133,
68,2011-03-09,Spring,2011,3,0,Wednesday,1,Mist/Cloudy,12.129153,14.3304,77.5417,14.750050000000002,191,1700,1891,
69,2011-03-10,Spring,2011,3,0,Thursday,1,Light Rain/Snow,15.952731,19.2834,0.0,17.545759,46,577,623,
70,2011-03-11,Spring,2011,3,0,Friday,1,Mist/Cloudy,12.977402000000001,15.25,64.95649999999999,15.60899,247,1730,1977,
71,2011-03-12,Spring,2011,3,0,Saturday,0,Clear/Partly Cloudy,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,724,1408,2132,
72,2011-03-13,Spring,2011,3,0,Sunday,0,Clear/Partly Cloudy,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,982,1435,2417,
73,2011-03-14,Spring,2011,3,0,Monday,1,Clear/Partly Cloudy,13.333896999999999,16.6,49.695699999999995,9.174042,359,1687,2046,
74,2011-03-15,Spring,2011,3,0,Tuesday,1,Mist/Cloudy,13.013031,15.908900000000001,65.5652,12.348703,289,1767,2056,
75,2011-03-16,Spring,2011,3,0,Wednesday,1,Mist/Cloudy,14.973897000000001,18.3465,77.65220000000001,13.608839,321,1871,2192,
76,2011-03-17,Spring,2011,3,0,Thursday,1,Clear/Partly Cloudy,17.015,20.51665,60.291700000000006,14.041792999999998,424,2320,2744,
77,2011-03-18,Spring,2011,3,0,Friday,1,Clear/Partly Cloudy,22.14,26.35045,52.5217,15.478139,884,2355,3239,
78,2011-03-19,Spring,2011,3,0,Saturday,0,Clear/Partly Cloudy,19.3725,23.32625,37.9167,24.667189,1424,1693,3117,
79,2011-03-20,Spring,2011,3,0,Sunday,0,Clear/Partly Cloudy,13.6325,16.287499999999998,47.375,13.917307,1047,1424,2471,
80,2011-03-21,Summer,2011,3,0,Monday,1,Mist/Cloudy,17.647835,20.48675,73.73910000000001,19.348461,401,1676,2077,
81,2011-03-22,Summer,2011,3,0,Tuesday,1,Clear/Partly Cloudy,18.108347,22.0321,62.4583,15.125250000000001,460,2243,2703,
82,2011-03-23,Summer,2011,3,0,Wednesday,1,Mist/Cloudy,14.225237,16.89695,83.9565,15.695487,203,1918,2121,
83,2011-03-24,Summer,2011,3,0,Thursday,1,Mist/Cloudy,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,166,1699,1865,
84,2011-03-25,Summer,2011,3,0,Friday,1,Clear/Partly Cloudy,10.830846999999999,12.8156,49.5,15.458575000000002,300,1910,2210,
85,2011-03-26,Summer,2011,3,0,Saturday,0,Clear/Partly Cloudy,10.899153,12.87855,39.4167,14.041257,981,1515,2496,
86,2011-03-27,Summer,2011,3,0,Sunday,0,Mist/Cloudy,10.374763000000002,12.51695,49.3913,12.348099999999999,472,1221,1693,
87,2011-03-28,Summer,2011,3,0,Monday,1,Clear/Partly Cloudy,10.838268000000001,12.878700000000002,30.2174,14.217668,222,1806,2028,
88,2011-03-29,Summer,2011,3,0,Tuesday,1,Clear/Partly Cloudy,12.4025,14.6454,31.4167,15.208732,317,2108,2425,
89,2011-03-30,Summer,2011,3,0,Wednesday,1,Mist/Cloudy,12.299999999999999,14.8675,64.6667,11.583495999999998,168,1368,1536,
90,2011-03-31,Summer,2011,3,0,Thursday,1,Light Rain/Snow,11.001653,12.87875,91.8333,14.582282000000001,179,1506,1685,
91,2011-04-01,Summer,2011,4,0,Friday,1,Mist/Cloudy,12.299999999999999,14.172699999999999,68.625,17.333436,307,1920,2227,
92,2011-04-02,Summer,2011,4,0,Saturday,0,Mist/Cloudy,12.915000000000001,15.78185,65.375,13.208782,898,1354,2252,
93,2011-04-03,Summer,2011,4,0,Sunday,0,Clear/Partly Cloudy,15.511652999999999,18.93835,48.0,12.208271000000002,1651,1598,3249,
94,2011-04-04,Summer,2011,4,0,Monday,1,Clear/Partly Cloudy,23.506653,27.14645,42.625,25.833257,734,2381,3115,
95,2011-04-05,Summer,2011,4,0,Tuesday,1,Mist/Cloudy,16.980847,19.9175,64.2083,26.000488999999998,167,1628,1795,
96,2011-04-06,Summer,2011,4,0,Wednesday,1,Clear/Partly Cloudy,16.024153,19.3804,47.0833,17.625221,413,2395,2808,
97,2011-04-07,Summer,2011,4,0,Thursday,1,Clear/Partly Cloudy,17.9375,21.684800000000003,60.291700000000006,10.874904,571,2570,3141,
98,2011-04-08,Summer,2011,4,0,Friday,1,Mist/Cloudy,13.769153,16.223950000000002,83.625,15.208464,172,1299,1471,
99,2011-04-09,Summer,2011,4,0,Saturday,0,Mist/Cloudy,14.0425,17.07645,87.75,8.916561,879,1576,2455,
100,2011-04-10,Summer,2011,4,0,Sunday,0,Mist/Cloudy,17.493347,21.33685,85.75,9.833389,1188,1707,2895,
101,2011-04-11,Summer,2011,4,0,Monday,1,Mist/Cloudy,24.421732,28.260849999999998,71.6956,21.739758,855,2493,3348,
102,2011-04-12,Summer,2011,4,0,Tuesday,1,Mist/Cloudy,20.6025,24.6527,73.9167,18.416892999999998,257,1777,2034,
103,2011-04-13,Summer,2011,4,0,Wednesday,1,Mist/Cloudy,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,209,1953,2162,
104,2011-04-14,Summer,2011,4,0,Thursday,1,Clear/Partly Cloudy,19.1675,23.1371,54.041700000000006,7.4169,529,2738,3267,
105,2011-04-15,Summer,2011,4,1,Friday,0,Clear/Partly Cloudy,18.313347,22.09565,67.125,15.167124999999999,642,2484,3126,
106,2011-04-16,Summer,2011,4,0,Saturday,0,Light Rain/Snow,17.664153000000002,21.2746,88.83330000000001,22.834136,121,674,795,
107,2011-04-17,Summer,2011,4,0,Sunday,0,Clear/Partly Cloudy,18.723347,22.2848,47.9583,20.334232,1558,2186,3744,
108,2011-04-18,Summer,2011,4,0,Monday,1,Clear/Partly Cloudy,21.0125,25.1573,54.25,10.958988999999999,669,2760,3429,
109,2011-04-19,Summer,2011,4,0,Tuesday,1,Mist/Cloudy,20.739152999999998,24.4629,66.5833,10.584057,409,2795,3204,
110,2011-04-20,Summer,2011,4,0,Wednesday,1,Clear/Partly Cloudy,24.395,28.2196,61.4167,16.208975,613,3331,3944,
111,2011-04-21,Summer,2011,4,0,Thursday,1,Clear/Partly Cloudy,18.825847,22.6946,40.708299999999994,21.792286,745,3444,4189,
112,2011-04-22,Summer,2011,4,0,Friday,1,Mist/Cloudy,13.803347,16.0977,72.9583,14.707906999999999,177,1506,1683,
113,2011-04-23,Summer,2011,4,0,Saturday,0,Mist/Cloudy,18.86,22.50605,88.79169999999999,15.458575000000002,1462,2574,4036,
114,2011-04-24,Summer,2011,4,0,Sunday,0,Mist/Cloudy,23.848347,27.58815,81.08330000000001,12.875725000000001,1710,2481,4191,
115,2011-04-25,Summer,2011,4,0,Monday,1,Clear/Partly Cloudy,24.873347,28.725,77.6667,12.417311,773,3300,4073,
116,2011-04-26,Summer,2011,4,0,Tuesday,1,Clear/Partly Cloudy,25.898346999999998,29.704150000000002,72.9167,21.875500000000002,678,3722,4400,
117,2011-04-27,Summer,2011,4,0,Wednesday,1,Mist/Cloudy,25.419999999999998,28.7571,83.54169999999999,20.917399999999997,547,3325,3872,
118,2011-04-28,Summer,2011,4,0,Thursday,1,Mist/Cloudy,25.317500000000003,28.946450000000002,70.08330000000001,21.500836000000003,569,3489,4058,
119,2011-04-29,Summer,2011,4,0,Friday,1,Clear/Partly Cloudy,20.91,24.87315,45.7083,16.084221,878,3717,4595,
120,2011-04-30,Summer,2011,4,0,Saturday,0,Clear/Partly Cloudy,19.3725,23.201050000000002,50.3333,15.750025,1965,3347,5312,
121,2011-05-01,Summer,2011,5,0,Sunday,0,Mist/Cloudy,18.518347,22.4102,76.2083,7.125718,1138,2213,3351,
122,2011-05-02,Summer,2011,5,0,Monday,1,Mist/Cloudy,22.515846999999997,26.64165,73.0,12.291418,847,3554,4401,
123,2011-05-03,Summer,2011,5,0,Tuesday,1,Mist/Cloudy,25.283347,29.10395,69.7083,22.958689,603,3848,4451,
124,2011-05-04,Summer,2011,5,0,Wednesday,1,Mist/Cloudy,16.980847,20.2325,73.70830000000001,22.042732,255,2378,2633,
125,2011-05-05,Summer,2011,5,0,Thursday,1,Clear/Partly Cloudy,18.825847,22.09585,44.4167,19.791263999999998,614,3819,4433,
126,2011-05-06,Summer,2011,5,0,Friday,1,Clear/Partly Cloudy,19.645847,23.70585,59.0,15.292482,894,3714,4608,
127,2011-05-07,Summer,2011,5,0,Saturday,0,Clear/Partly Cloudy,21.32,25.63105,54.125,10.750150000000001,1612,3102,4714,
128,2011-05-08,Summer,2011,5,0,Sunday,0,Clear/Partly Cloudy,21.661653,25.946649999999998,63.1667,5.0007125,1401,2932,4333,
129,2011-05-09,Summer,2011,5,0,Monday,1,Clear/Partly Cloudy,21.8325,26.2623,58.875,11.792,664,3698,4362,
130,2011-05-10,Summer,2011,5,0,Tuesday,1,Clear/Partly Cloudy,21.8325,26.13605,48.9167,7.749956999999999,694,4109,4803,
131,2011-05-11,Summer,2011,5,0,Wednesday,1,Clear/Partly Cloudy,22.2425,26.419999999999998,63.29169999999999,8.083014,550,3632,4182,
132,2011-05-12,Summer,2011,5,0,Thursday,1,Clear/Partly Cloudy,21.935000000000002,26.16815,74.75,12.707689,695,4169,4864,
133,2011-05-13,Summer,2011,5,0,Friday,1,Mist/Cloudy,21.0125,24.715,86.33330000000001,12.041575,692,3413,4105,
134,2011-05-14,Summer,2011,5,0,Saturday,0,Mist/Cloudy,21.354153,25.03145,92.25,9.041649999999999,902,2507,3409,
135,2011-05-15,Summer,2011,5,0,Sunday,0,Mist/Cloudy,23.0625,26.8,86.70830000000001,10.249593,1582,2971,4553,
136,2011-05-16,Summer,2011,5,0,Monday,1,Clear/Partly Cloudy,23.677500000000002,27.5256,78.79169999999999,8.500357000000001,773,3185,3958,
137,2011-05-17,Summer,2011,5,0,Tuesday,1,Mist/Cloudy,23.028347,26.926450000000003,83.7917,18.582718,678,3445,4123,
138,2011-05-18,Summer,2011,5,0,Wednesday,1,Mist/Cloudy,22.55,26.3579,87.0,13.499964,536,3319,3855,
139,2011-05-19,Summer,2011,5,0,Thursday,1,Mist/Cloudy,21.764153,25.537100000000002,82.9583,7.250271000000001,735,3840,4575,
140,2011-05-20,Summer,2011,5,0,Friday,1,Clear/Partly Cloudy,22.003347,26.4521,71.9583,8.375871,909,4008,4917,
141,2011-05-21,Summer,2011,5,0,Saturday,0,Clear/Partly Cloudy,24.7025,28.59875,62.6667,8.083549999999999,2258,3547,5805,
142,2011-05-22,Summer,2011,5,0,Sunday,0,Clear/Partly Cloudy,24.770847,28.725,74.9583,9.916536,1576,3084,4660,
143,2011-05-23,Summer,2011,5,0,Monday,1,Mist/Cloudy,25.898346999999998,29.5148,81.0,15.667413999999999,836,3438,4274,
144,2011-05-24,Summer,2011,5,0,Tuesday,1,Mist/Cloudy,27.060000000000002,30.240650000000002,74.0833,13.875164,659,3833,4492,
145,2011-05-25,Summer,2011,5,0,Wednesday,1,Clear/Partly Cloudy,27.094153,30.7771,69.625,10.333611000000001,740,4238,4978,
146,2011-05-26,Summer,2011,5,0,Thursday,1,Clear/Partly Cloudy,29.041653,32.7344,67.75,13.376014,758,3919,4677,
147,2011-05-27,Summer,2011,5,0,Friday,1,Clear/Partly Cloudy,27.948347000000002,31.8504,65.375,16.125493,871,3808,4679,
148,2011-05-28,Summer,2011,5,0,Saturday,0,Clear/Partly Cloudy,26.889153,30.61895,72.9583,15.416164,2001,2757,4758,
149,2011-05-29,Summer,2011,5,0,Sunday,0,Clear/Partly Cloudy,27.3675,30.777500000000003,81.875,14.333846,2355,2433,4788,
150,2011-05-30,Summer,2011,5,1,Monday,0,Clear/Partly Cloudy,30.066653000000002,33.5546,68.5,8.792075,1549,2549,4098,
151,2011-05-31,Summer,2011,5,0,Tuesday,1,Clear/Partly Cloudy,31.775000000000002,36.26915,63.6667,7.459042999999999,673,3309,3982,
152,2011-06-01,Summer,2011,6,0,Wednesday,1,Mist/Cloudy,31.330847000000002,36.04835,67.7083,13.875164,513,3461,3974,
153,2011-06-02,Summer,2011,6,0,Thursday,1,Clear/Partly Cloudy,29.314999999999998,32.1971,30.5,19.583229000000003,736,4232,4968,
154,2011-06-03,Summer,2011,6,0,Friday,1,Clear/Partly Cloudy,25.419999999999998,29.356650000000002,35.4167,16.959107,898,4414,5312,
155,2011-06-04,Summer,2011,6,0,Saturday,0,Clear/Partly Cloudy,26.035,29.7348,45.625,8.250514,1869,3473,5342,
156,2011-06-05,Summer,2011,6,0,Sunday,0,Mist/Cloudy,26.581653000000003,30.8402,65.25,9.292364000000001,1685,3221,4906,
157,2011-06-06,Summer,2011,6,0,Monday,1,Clear/Partly Cloudy,27.811653,31.0929,60.0,8.167032,673,3875,4548,
158,2011-06-07,Summer,2011,6,0,Tuesday,1,Clear/Partly Cloudy,29.0075,32.7975,59.791700000000006,12.583136,763,4070,4833,
159,2011-06-08,Summer,2011,6,0,Wednesday,1,Clear/Partly Cloudy,31.809153,36.36395,62.20830000000001,9.166739,676,3725,4401,
160,2011-06-09,Summer,2011,6,0,Thursday,1,Mist/Cloudy,33.141653,37.87895,56.833299999999994,10.042161,563,3352,3915,
161,2011-06-10,Summer,2011,6,0,Friday,1,Clear/Partly Cloudy,30.955000000000002,35.1646,60.5,9.417118,815,3771,4586,
162,2011-06-11,Summer,2011,6,0,Saturday,0,Clear/Partly Cloudy,29.724999999999998,33.901900000000005,65.45830000000001,10.374949999999998,1729,3237,4966,
163,2011-06-12,Summer,2011,6,0,Sunday,0,Clear/Partly Cloudy,28.392500000000002,32.166250000000005,74.7917,10.958988999999999,1467,2993,4460,
164,2011-06-13,Summer,2011,6,0,Monday,1,Clear/Partly Cloudy,26.035,30.082700000000003,49.4583,20.45845,863,4157,5020,
165,2011-06-14,Summer,2011,6,0,Tuesday,1,Clear/Partly Cloudy,24.770847,29.5773,50.708299999999994,18.041961,727,4164,4891,
166,2011-06-15,Summer,2011,6,0,Wednesday,1,Clear/Partly Cloudy,25.693347,29.3877,47.1667,11.250104,769,4411,5180,
167,2011-06-16,Summer,2011,6,0,Thursday,1,Mist/Cloudy,25.761653000000003,29.767300000000002,68.8333,13.833556999999999,545,3222,3767,
168,2011-06-17,Summer,2011,6,0,Friday,1,Clear/Partly Cloudy,26.615847000000002,30.01915,73.5833,9.582942999999998,863,3981,4844,
169,2011-06-18,Summer,2011,6,0,Saturday,0,Clear/Partly Cloudy,28.563347,32.197700000000005,67.0417,8.000336,1807,3312,5119,
170,2011-06-19,Summer,2011,6,0,Sunday,0,Mist/Cloudy,28.665847,32.292300000000004,66.6667,6.834,1639,3105,4744,
171,2011-06-20,Summer,2011,6,0,Monday,1,Mist/Cloudy,26.035,29.767300000000002,74.625,10.416825,699,3311,4010,
172,2011-06-21,Fall,2011,6,0,Tuesday,1,Mist/Cloudy,27.914153000000002,31.8823,77.0417,11.458675000000001,774,4061,4835,
173,2011-06-22,Fall,2011,6,0,Wednesday,1,Clear/Partly Cloudy,30.066653000000002,34.69145,70.75,11.541554,661,3846,4507,
174,2011-06-23,Fall,2011,6,0,Thursday,1,Mist/Cloudy,29.861653,34.69165,70.3333,15.999868,746,4044,4790,
175,2011-06-24,Fall,2011,6,0,Friday,1,Clear/Partly Cloudy,29.690847,32.82915,57.3333,14.875675,969,4022,4991,
176,2011-06-25,Fall,2011,6,0,Saturday,0,Clear/Partly Cloudy,28.494999999999997,32.16565,48.3333,14.041257,1782,3420,5202,
177,2011-06-26,Fall,2011,6,0,Sunday,0,Clear/Partly Cloudy,27.880000000000003,31.88145,51.3333,6.3337311,1920,3385,5305,
178,2011-06-27,Fall,2011,6,0,Monday,1,Mist/Cloudy,27.982499999999998,31.8502,65.8333,7.2083960000000005,854,3854,4708,
179,2011-06-28,Fall,2011,6,0,Tuesday,1,Clear/Partly Cloudy,30.510847000000002,34.6279,63.416700000000006,9.666960999999999,732,3916,4648,
180,2011-06-29,Fall,2011,6,0,Wednesday,1,Clear/Partly Cloudy,29.861653,32.7344,49.7917,17.542007,848,4377,5225,
181,2011-06-30,Fall,2011,6,0,Thursday,1,Clear/Partly Cloudy,28.563347,31.8504,43.416700000000006,12.415904000000001,1027,4488,5515,
182,2011-07-01,Fall,2011,7,0,Friday,1,Clear/Partly Cloudy,29.622500000000002,32.6081,39.625,6.874736,1246,4116,5362,
183,2011-07-02,Fall,2011,7,0,Saturday,0,Clear/Partly Cloudy,30.271653,33.3654,44.4583,7.709154,2204,2915,5119,
184,2011-07-03,Fall,2011,7,0,Sunday,0,Mist/Cloudy,29.383347,33.42875,68.25,15.333486,2282,2367,4649,
185,2011-07-04,Fall,2011,7,1,Monday,0,Mist/Cloudy,29.793346999999997,33.27085,63.7917,5.4591064000000005,3065,2978,6043,
186,2011-07-05,Fall,2011,7,0,Tuesday,1,Clear/Partly Cloudy,30.613346999999997,34.816900000000004,59.0417,8.459286,1031,3634,4665,
187,2011-07-06,Fall,2011,7,0,Wednesday,1,Clear/Partly Cloudy,29.52,34.28165,74.33330000000001,10.042161,784,3845,4629,
188,2011-07-07,Fall,2011,7,0,Thursday,1,Clear/Partly Cloudy,30.75,34.34355,65.125,10.666400000000001,754,3838,4592,
189,2011-07-08,Fall,2011,7,0,Friday,1,Mist/Cloudy,29.075847,33.524150000000006,75.79169999999999,15.083643,692,3348,4040,
190,2011-07-09,Fall,2011,7,0,Saturday,0,Clear/Partly Cloudy,30.066653000000002,33.2079,60.9167,11.250104,1988,3348,5336,
191,2011-07-10,Fall,2011,7,0,Sunday,0,Clear/Partly Cloudy,30.6475,34.50125,57.8333,12.292557,1743,3138,4881,
192,2011-07-11,Fall,2011,7,0,Monday,1,Clear/Partly Cloudy,31.2625,36.4902,63.5833,18.916579,723,3363,4086,
193,2011-07-12,Fall,2011,7,0,Tuesday,1,Clear/Partly Cloudy,32.560846999999995,36.96375,55.9167,13.417017999999999,662,3596,4258,
194,2011-07-13,Fall,2011,7,0,Wednesday,1,Clear/Partly Cloudy,30.613346999999997,34.4702,63.1667,9.790911000000001,748,3594,4342,
195,2011-07-14,Fall,2011,7,0,Thursday,1,Clear/Partly Cloudy,27.914153000000002,31.7552,47.625,16.124689,888,4196,5084,
